year,month,month_name,revenue,order_count
2016,9,September,134.97,1
2016,10,October,40325.11,265
2016,12,December,10.9,1
2017,1,January,111798.36,750
2017,2,February,234223.4,1653
2017,3,March,359198.85,2546
2017,4,April,340669.68,2303
2017,5,May,489338.25,3546
2017,6,June,421923.37,3135
2017,7,July,481604.52,3872
2017,8,August,554699.7,4193
2017,9,September,607399.67,4150
2017,10,October,648247.65,4478
2017,11,November,987765.37,7289
2017,12,December,726033.19,5513
2018,1,January,924645.0,7069
2018,2,February,826437.13,6555
2018,3,March,953356.25,7003
2018,4,April,973534.09,6798
2018,5,May,977544.69,6749
2018,6,June,856077.86,6099
2018,7,July,867953.46,6159
2018,8,August,838576.64,6351
