year,month,month_name,category_en,revenue
2016,9,September,health_beauty,134.97
2016,10,October,furniture_decor,5690.52
2016,10,October,perfumery,4829.1
2016,10,October,toys,4106.5
2016,10,October,consoles_games,3619.36
2016,10,October,health_beauty,3439.25
2016,10,October,watches_gifts,2711.07
2016,10,October,sports_leisure,2012.15
2016,10,October,baby,1371.17
2016,10,October,garden_tools,1359.88
2016,10,October,air_conditioning,1349.29
2016,10,October,office_furniture,1300.88
2016,10,October,housewares,1287.07
2016,10,October,auto,1128.26
2016,10,October,cool_stuff,1046.1
2016,10,October,market_place,915.29
2016,10,October,fixed_telephony,704.88
2016,10,October,pet_shop,689.68
2016,10,October,computers_accessories,669.02
2016,10,October,bed_bath_table,478.99
2016,10,October,fashion_bags_accessories,373.3
2016,10,October,industry_commerce_and_business,359.6
2016,10,October,telephony,228.29
2016,10,October,audio,156.99
2016,10,October,diapers_and_hygiene,134.9
2016,10,October,electronics,107.99
2016,10,October,food,79.9
2016,10,October,Unknown,65.89
2016,10,October,fashio_female_clothing,54.9
2016,10,October,fashion_shoes,29.99
2016,10,October,fashion_male_clothing,24.9
2016,12,December,fashion_bags_accessories,10.9
2017,1,January,furniture_decor,13036.63
2017,1,January,health_beauty,12366.44
2017,1,January,sports_leisure,9212.14
2017,1,January,watches_gifts,8086.52
2017,1,January,garden_tools,7466.95
2017,1,January,cool_stuff,6856.87
2017,1,January,baby,6217.88
2017,1,January,perfumery,5112.6
2017,1,January,auto,4820.03
2017,1,January,toys,4568.19
2017,1,January,consoles_games,4514.44
2017,1,January,computers_accessories,3924.14
2017,1,January,bed_bath_table,3804.36
2017,1,January,housewares,2827.58
2017,1,January,computers,2199.99
2017,1,January,home_appliances_2,1916.78
2017,1,January,fashion_bags_accessories,1671.97
2017,1,January,small_appliances,1660.79
2017,1,January,Unknown,1603.64
2017,1,January,stationery,1561.99
2017,1,January,furniture_living_room,1241.9
2017,1,January,office_furniture,1158.35
2017,1,January,pet_shop,799.12
2017,1,January,telephony,755.94
2017,1,January,fixed_telephony,677.12
2017,1,January,air_conditioning,663.7
2017,1,January,electronics,617.0
2017,1,January,luggage_accessories,492.5
2017,1,January,market_place,414.14
2017,1,January,musical_instruments,339.74
2017,1,January,books_general_interest,234.89
2017,1,January,security_and_services,183.29
2017,1,January,fashion_underwear_beach,137.25
2017,1,January,fashion_male_clothing,126.9
2017,1,January,kitchen_dining_laundry_garden_furniture,110.0
2017,1,January,fashio_female_clothing,77.3
2017,1,January,furniture_bedroom,73.2
2017,1,January,home_comfort_2,72.8
2017,1,January,agro_industry_and_commerce,65.97
2017,1,January,food,42.82
2017,1,January,fashion_shoes,34.9
2017,1,January,dvds_blu_ray,29.8
2017,1,January,music,19.8
2017,2,February,health_beauty,22059.92
2017,2,February,furniture_decor,19926.41
2017,2,February,sports_leisure,15629.98
2017,2,February,bed_bath_table,15572.13
2017,2,February,cool_stuff,12454.6
2017,2,February,auto,12358.78
2017,2,February,garden_tools,11734.62
2017,2,February,computers_accessories,11319.09
2017,2,February,housewares,11295.34
2017,2,February,watches_gifts,10992.39
2017,2,February,office_furniture,10845.98
2017,2,February,toys,9353.44
2017,2,February,Unknown,8521.11
2017,2,February,perfumery,8040.38
2017,2,February,small_appliances,7251.58
2017,2,February,telephony,6693.34
2017,2,February,consoles_games,4294.77
2017,2,February,pet_shop,3584.87
2017,2,February,computers,3549.0
2017,2,February,furniture_living_room,3409.64
2017,2,February,baby,2837.58
2017,2,February,air_conditioning,2405.3
2017,2,February,stationery,2341.4
2017,2,February,musical_instruments,2221.28
2017,2,February,fashion_bags_accessories,2170.31
2017,2,February,luggage_accessories,1659.19
2017,2,February,market_place,1574.22
2017,2,February,electronics,1218.85
2017,2,February,tablets_printing_image,792.0
2017,2,February,books_general_interest,772.71
2017,2,February,fixed_telephony,759.23
2017,2,February,home_appliances,740.9
2017,2,February,home_construction,695.6
2017,2,February,food,676.73
2017,2,February,costruction_tools_garden,579.98
2017,2,February,fashion_male_clothing,545.95
2017,2,February,furniture_bedroom,450.0
2017,2,February,home_confort,414.66
2017,2,February,fashion_underwear_beach,396.97
2017,2,February,construction_tools_safety,379.0
2017,2,February,fashio_female_clothing,363.9
2017,2,February,construction_tools_construction,336.79
2017,2,February,agro_industry_and_commerce,224.84
2017,2,February,audio,163.8
2017,2,February,books_technical,159.0
2017,2,February,kitchen_dining_laundry_garden_furniture,139.9
2017,2,February,industry_commerce_and_business,119.0
2017,2,February,fashion_shoes,107.05
2017,2,February,cine_photo,59.0
2017,2,February,home_appliances_2,15.99
2017,2,February,dvds_blu_ray,14.9
2017,3,March,computers_accessories,28078.8
2017,3,March,health_beauty,25652.45
2017,3,March,sports_leisure,25472.89
2017,3,March,bed_bath_table,25120.02
2017,3,March,watches_gifts,24892.38
2017,3,March,garden_tools,23508.76
2017,3,March,furniture_decor,22133.47
2017,3,March,cool_stuff,20583.33
2017,3,March,perfumery,19608.14
2017,3,March,auto,13272.93
2017,3,March,housewares,12906.96
2017,3,March,toys,12339.57
2017,3,March,small_appliances,11171.06
2017,3,March,office_furniture,10793.85
2017,3,March,consoles_games,9834.04
2017,3,March,pet_shop,8240.06
2017,3,March,telephony,7877.12
2017,3,March,Unknown,6457.17
2017,3,March,luggage_accessories,5924.01
2017,3,March,stationery,5902.62
2017,3,March,fashion_bags_accessories,4786.36
2017,3,March,air_conditioning,4103.81
2017,3,March,electronics,3986.0
2017,3,March,baby,3592.28
2017,3,March,furniture_living_room,3324.0
2017,3,March,books_general_interest,2533.96
2017,3,March,food,2412.66
2017,3,March,home_confort,2123.4
2017,3,March,market_place,1808.59
2017,3,March,musical_instruments,1667.33
2017,3,March,fashion_shoes,1515.0
2017,3,March,fixed_telephony,1333.45
2017,3,March,audio,1134.77
2017,3,March,home_construction,591.96
2017,3,March,fashion_male_clothing,580.8
2017,3,March,home_appliances_2,500.9
2017,3,March,tablets_printing_image,495.0
2017,3,March,drinks,463.87
2017,3,March,dvds_blu_ray,453.7
2017,3,March,fashion_underwear_beach,394.14
2017,3,March,home_comfort_2,342.88
2017,3,March,home_appliances,313.3
2017,3,March,industry_commerce_and_business,238.0
2017,3,March,art,174.6
2017,3,March,kitchen_dining_laundry_garden_furniture,113.98
2017,3,March,food_drink,85.8
2017,3,March,agro_industry_and_commerce,81.99
2017,3,March,books_technical,75.0
2017,3,March,signaling_and_security,75.0
2017,3,March,fashion_sport,39.9
2017,3,March,construction_tools_construction,38.9
2017,3,March,music,27.99
2017,3,March,fashio_female_clothing,19.9
2017,4,April,bed_bath_table,24092.89
2017,4,April,watches_gifts,23336.09
2017,4,April,small_appliances,23114.98
2017,4,April,sports_leisure,22997.06
2017,4,April,health_beauty,22156.34
2017,4,April,cool_stuff,20902.39
2017,4,April,perfumery,19436.51
2017,4,April,furniture_decor,19211.23
