category_en,revenue,cumulative_pct
health_beauty,1233131.72,9.33
watches_gifts,1166176.98,18.15
bed_bath_table,1023434.76,25.89
sports_leisure,954852.55,33.11
computers_accessories,888724.61,39.83
furniture_decor,711927.69,45.22
housewares,615628.69,49.87
cool_stuff,610204.1,54.49
auto,578966.65,58.87
toys,471286.48,62.43
garden_tools,470495.28,65.99
baby,400421.84,69.02
perfumery,390144.65,71.97
telephony,309860.23,74.31
office_furniture,268154.31,76.34
stationery,223788.69,78.03
computers,218684.14,79.69
pet_shop,211695.64,81.29
musical_instruments,184315.74,82.68
small_appliances,182754.12,84.06
Unknown,170726.63,85.36
electronics,155043.93,86.53
fashion_bags_accessories,149329.39,87.66
consoles_games,148003.37,88.78
construction_tools_construction,142108.49,89.85
luggage_accessories,138701.63,90.9
home_appliances_2,107953.95,91.72
home_construction,81407.57,92.33
home_appliances,78832.48,92.93
agro_industry_and_commerce,70566.1,93.46
furniture_living_room,67350.7,93.97
home_confort,58008.45,94.41
fixed_telephony,55315.21,94.83
air_conditioning,53323.56,95.23
audio,50570.6,95.62
small_appliances_home_oven_and_coffee,46589.56,95.97
kitchen_dining_laundry_garden_furniture,45531.98,96.31
books_general_interest,45302.15,96.66
construction_tools_lights,39957.0,96.96
construction_tools_safety,38773.22,97.25
industry_commerce_and_business,38498.81,97.54
food,28731.15,97.76
market_place,27795.77,97.97
costruction_tools_garden,25096.28,98.16
art,23657.3,98.34
fashion_shoes,23001.46,98.51
drinks,21529.84,98.68
signaling_and_security,21315.05,98.84
furniture_bedroom,19051.8,98.98
books_technical,18702.23,99.12
costruction_tools_tools,15903.95,99.24
food_drink,14942.88,99.36
fashion_male_clothing,10452.33,99.43
fashion_underwear_beach,9305.95,99.5
christmas_supplies,8737.84,99.57
tablets_printing_image,7528.41,99.63
cine_photo,6674.47,99.68
music,6034.35,99.72
dvds_blu_ray,4542.59,99.76
party_supplies,4465.19,99.79
books_imported,4418.86,99.83
furniture_mattress_and_upholstery,4323.38,99.86
portateis_cozinha_e_preparadores_de_alimentos,3933.63,99.89
fashio_female_clothing,2634.94,99.91
fashion_sport,2094.52,99.92
la_cuisine,2054.99,99.94
arts_and_craftmanship,1814.01,99.95
diapers_and_hygiene,1500.79,99.96
pc_gamer,1306.95,99.97
flowers,1110.04,99.98
home_comfort_2,760.27,99.99
cds_dvds_musicals,730.0,99.99
fashion_childrens_clothes,519.95,100.0
security_and_services,283.29,100.0
